Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,154.25,-102.27,-90.0,top
C10,10p,C_0402_1005Metric,141.5,-102.77,90.0,top
C11,10p,C_0402_1005Metric,141.5,-104.75,-90.0,top
C12,22u,C_0805_2012Metric,157.75,-109.0,0.0,top
C13,22u,C_0805_2012Metric,162.5,-114.0,90.0,top
C2,100n,C_0402_1005Metric,151.75,-110.75,180.0,top
C3,100n,C_0402_1005Metric,146.0,-99.25,0.0,top
C4,100n,C_0402_1005Metric,142.75,-101.77,90.0,top
C5,10u,C_0603_1608Metric,146.0,-98.0,0.0,top
C6,10n,C_0402_1005Metric,142.75,-107.0,-90.0,top
C7,1u,C_0603_1608Metric,141.25,-107.5,-90.0,top
C8,1u,C_0603_1608Metric,138.0,-109.25,-90.0,top
C9,100n,C_0402_1005Metric,144.5,-109.98,-90.0,top
D1,GREEN,LED_0805_2012Metric,133.0,-113.0,90.0,top
D2,YELLOW,LED_0805_2012Metric,130.0,-113.0,90.0,top
FB1,120R @ 100MHz,L_0603_1608Metric,138.75,-106.75,180.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB-C-SMD_TYPE-C-6PIN-2MD-073,164.675,-104.5,90.0,top
J2,Conn_01x04_Pin,HDR-TH_4P-P2.54-V-M,154.5,-91.0,0.0,top
J3,Conn_01x04_Pin,HDR-TH_4P-P2.54-V-M,142.5,-91.0,0.0,top
J4,Conn_01x04_Pin,HDR-TH_4P-P2.54-V-M,142.5,-119.0,0.0,top
R1,10k,C_0402_1005Metric,135.48,-99.0,0.0,top
R2,5k1,R_0402_1005Metric,160.25,-105.75,0.0,top
R3,5k1,R_0402_1005Metric,160.2,-103.0,0.0,top
R4,1k5,R_0402_1005Metric,157.5,-103.065,90.0,top
R5,470R,R_0603_1608Metric,133.0,-109.0,-90.0,top
R6,1k,R_0603_1608Metric,130.0,-109.0,-90.0,top
R7,1k5,R_0402_1005Metric,144.29,-115.8,0.0,top
R8,1k5,R_0402_1005Metric,140.79,-115.8,180.0,top
SW1,SW_SPDT,SW-SMD_K3-1280S-K1,130.1475,-99.0,180.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,157.75,-114.75,-90.0,top
U2,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,148.5,-105.0,0.0,top
Y1,16MHz,OSC-SMD_4P-L3.2-W2.5-BL,139.0,-103.5,-90.0,top
